#,Time(ms),CH1(mV),CH2(mV)
708,-0.0279200,640.00,0.00
709,-0.0279600,620.00,-20.00
710,-0.0280000,640.00,0.00
711,-0.0280400,600.00,-20.00
712,-0.0280800,640.00,0.00
713,-0.0281200,600.00,-20.00
714,-0.0281600,640.00,0.00
715,-0.0282000,620.00,-20.00
716,-0.0282400,640.00,0.00
717,-0.0282800,600.00,-20.00
718,-0.0283200,640.00,0.00
719,-0.0283600,620.00,-20.00
720,-0.0284000,640.00,0.00
721,-0.0284400,620.00,-20.00
722,-0.0284800,640.00,0.00
723,-0.0285200,640.00,-20.00
724,-0.0285600,640.00,0.00
725,-0.0286000,600.00,-20.00
726,-0.0286400,640.00,0.00
727,-0.0286800,600.00,-20.00
728,-0.0287200,640.00,0.00
729,-0.0287600,600.00,-20.00
730,-0.0288000,640.00,0.00
731,-0.0288400,600.00,-20.00
732,-0.0288800,640.00,0.00
733,-0.0289200,600.00,-20.00
734,-0.0289600,640.00,0.00
735,-0.0290000,620.00,-20.00
736,-0.0290400,640.00,0.00
737,-0.0290800,540.00,-20.00
738,-0.0291200,720.00,0.00
739,-0.0291600,540.00,-20.00
740,-0.0292000,660.00,0.00
741,-0.0292400,460.00,-20.00
742,-0.0292800,760.00,20.00
743,-0.0293200,400.00,-20.00
744,-0.0293600,620.00,20.00
745,-0.0294000,520.00,-20.00
746,-0.0294400,660.00,20.00
747,-0.0294800,400.00,-20.00
748,-0.0295200,660.00,0.00
749,-0.0295600,560.00,-20.00
750,-0.0296000,720.00,0.00
751,-0.0296400,440.00,-20.00
752,-0.0296800,680.00,0.00
753,-0.0297200,520.00,-20.00
754,-0.0297600,740.00,-20.00
755,-0.0298000,480.00,-20.00
756,-0.0298400,700.00,0.00
757,-0.0298800,580.00,-20.00
758,-0.0299200,720.00,0.00
759,-0.0299600,500.00,-20.00
760,-0.0300000,660.00,0.00
761,-0.0300400,600.00,-20.00
762,-0.0300800,700.00,0.00
763,-0.0301200,500.00,-20.00
764,-0.0301600,660.00,0.00
765,-0.0302000,560.00,-20.00
766,-0.0302400,680.00,-20.00
767,-0.0302800,540.00,-20.00
768,-0.0303200,660.00,0.00
769,-0.0303600,580.00,-20.00
770,-0.0304000,700.00,0.00
771,-0.0304400,540.00,-20.00
772,-0.0304800,600.00,20.00
773,-0.0305200,580.00,-20.00
774,-0.0305600,700.00,0.00
775,-0.0306000,500.00,-20.00
776,-0.0306400,620.00,0.00
777,-0.0306800,600.00,-20.00
778,-0.0307200,680.00,0.00
779,-0.0307600,560.00,-20.00
780,-0.0308000,600.00,20.00
781,-0.0308400,580.00,-20.00
782,-0.0308800,660.00,0.00
783,-0.0309200,560.00,-20.00
784,-0.0309600,660.00,0.00
785,-0.0310000,600.00,-20.00
786,-0.0310400,680.00,0.00
787,-0.0310800,560.00,-20.00
788,-0.0311200,660.00,0.00
789,-0.0311600,620.00,-20.00
790,-0.0312000,680.00,0.00
791,-0.0312400,560.00,-20.00
792,-0.0312800,640.00,0.00
